code	additives_en
9300003346	E433 - Polyoxyethylene sorbitan monooleate
9300003346	E509 - Calcium chloride
9300128896	E102 - Tartrazine
9300128896	E211 - Sodium benzoate
9300128896	E433 - Polyoxyethylene sorbitan monooleate
9300128896	E509 - Calcium chloride
9542018054	E322 - Lecithins
9542018054	E322i - Lecithin
9542018054	E500 - Sodium carbonates
9542018054	E500ii - Sodium hydrogen carbonate
9542018061	E322 - Lecithins
9542018061	E322i - Lecithin
9542018085	E322 - Lecithins
9542018085	E322i - Lecithin
9542018085	E420 - Sorbitol
9542018085	E420i - Sorbitol
9800801107	
9800892204	
9800895007	
9800895250	
99233	
99332	E170 - Calcium carbonate
99332	E296 - Malic acid
99332	E330 - Citric acid
99332	E450 - Diphosphates
99332	E471 - Mono- and diglycerides of fatty acids
99332	E500 - Sodium carbonates
99332	E500ii - Sodium hydrogen carbonate
99332	E509 - Calcium chloride
104456	
10700021526	E471 - Mono- and diglycerides of fatty acids
10700021526	E500 - Sodium carbonates
10700021526	E500ii - Sodium hydrogen carbonate
10700024404	E1400 - Dextrin
10700024404	E170 - Calcium carbonate
10700024404	E322 - Lecithins
10700024404	E322i - Lecithin
10700024404	E492 - Sorbitan tristearate
10700024404	E500 - Sodium carbonates
10700024404	E500ii - Sodium hydrogen carbonate
10700088130	E101 - Riboflavin
10700088130	E101i - Riboflavin
10700088130	E375 - Nicotinic acid
10852997489	E330 - Citric acid
10852997489	E410 - Locust bean gum
10852997489	E440 - Pectins
10852997489	E440i - Pectin
11110001207	E101 - Riboflavin
11110001207	E101i - Riboflavin
11110001207	E282 - Calcium propionate
11110001207	E322 - Lecithins
11110001207	E322i - Lecithin
11110001207	E330 - Citric acid
11110001207	E341 - Calcium phosphates
11110001207	E341i - Monocalcium phosphate
11110001207	E375 - Nicotinic acid
11110001207	E472e - Mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids
11110001207	E516 - Calcium sulphate
11110001207	E916 - Calcium iodate
11110001207	E917 - Potassium iodate
11110001986	E101 - Riboflavin
11110001986	E101i - Riboflavin
11110001986	E260 - Acetic acid
11110001986	E270 - Lactic acid
11110001986	E282 - Calcium propionate
11110001986	E297 - Fumaric acid
11110001986	E300 - Ascorbic acid
11110001986	E375 - Nicotinic acid
11110001986	E481 - Sodium stearoyl-2-lactylate
11110001986	E516 - Calcium sulphate
11110001986	E517 - Ammonium sulphate
11110019516	
11110020109	E101 - Riboflavin
11110020109	E101i - Riboflavin
11110020109	E282 - Calcium propionate
11110020109	E322 - Lecithins
11110020109	E322i - Lecithin
11110020109	E330 - Citric acid
11110020109	E341 - Calcium phosphates
11110020109	E341i - Monocalcium phosphate
11110020109	E375 - Nicotinic acid
11110020109	E472e - Mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids
11110020109	E516 - Calcium sulphate
11110020109	E917 - Potassium iodate
